id,"sektor","naziv_sektora","podrucje","djelatnost","naziv_djelatnosti"
582,"R","Umjetnost, zabava i rekreacija","93","21","Djelatnosti zabavnih i tematskih parkova 9329 Ostale zabavne i rekreacijske djelatnosti"
583,"S","Ostale uslužne djelatnosti","94","11","Djelatnosti poslovnih organizacija i organizacija poslodavaca"
584,"S","Ostale uslužne djelatnosti","94","12","Djelatnosti strukovnih članskih organizacija"
585,"S","Ostale uslužne djelatnosti","94","20","Djelatnosti sindikata"
586,"S","Ostale uslužne djelatnosti","94","91","Djelatnosti vjerskih organizacija"
587,"S","Ostale uslužne djelatnosti","94","92","Djelatnosti političkih organizacija"
588,"S","Ostale uslužne djelatnosti","94","99","Djelatnosti ostalih članskih organizacija, dn"
589,"S","Ostale uslužne djelatnosti","95","11","Popravak računala i periferne opreme"
590,"S","Ostale uslužne djelatnosti","95","12","Popravak komunikacijske opreme"
591,"S","Ostale uslužne djelatnosti","95","21","Popravak elektroničkih uređaja za široku potrošnju"
592,"S","Ostale uslužne djelatnosti","95","22","Popravak aparata za kućanstvo te opreme za kuću i vrt"
593,"S","Ostale uslužne djelatnosti","95","23","Popravak obuće i proizvoda od kože"
594,"S","Ostale uslužne djelatnosti","95","24","Popravak namještaja i pokućstva"
595,"S","Ostale uslužne djelatnosti","95","25","Popravak satova i nakita"
596,"S","Ostale uslužne djelatnosti","95","29","Popravak ostalih predmeta za osobnu uporabu i kućanstvo "
597,"S","Ostale uslužne djelatnosti","96","01","Pranje i kemijsko čišćenje tekstila i krznenih proizvoda"
598,"S","Ostale uslužne djelatnosti","96","02","Frizerski saloni i saloni za uljepšavanje"
599,"S","Ostale uslužne djelatnosti","96","03","Pogrebne i srodne djelatnosti"
600,"S","Ostale uslužne djelatnosti","96","04","Djelatnosti za njegu i održavanje tijela"
601,"S","Ostale uslužne djelatnosti","96","09","Ostale osobne uslužne djelatnosti, dn"
602,"T","Djelatnosti kućanstava kao poslodavaca; djelatnosti kućanstava koja proizvode različitu robu i obavljaju različite usluge za vlastite potrebe","97","00","Djelatnosti kućanstava koja zapošljavaju poslugu"
603,"T","Djelatnosti kućanstava kao poslodavaca; djelatnosti kućanstava koja proizvode različitu robu i obavljaju različite usluge za vlastite potrebe","98","10","Djelatnosti privatnih kućanstava koja proizvode različitu robu za vlastite potrebe"
604,"T","Djelatnosti kućanstava kao poslodavaca; djelatnosti kućanstava koja proizvode različitu robu i obavljaju različite usluge za vlastite potrebe","98","20","Djelatnosti privatnih kućanstava koja obavljaju različite usluge za vlastite potrebe"
605,"U","Djelatnosti izvanteritorijalnih organizacija i tijela","99","00","Djelatnosti izvanteritorijalnih organizacija i tijela"
