id,"city","zupanija","skupina"
133,"Šestanovac","Splitsko-dalmatinska","II."
134,"Ribnik","Karlovačka","II."
135,"Grubišno Polje","Bjelovarsko-bilogorska","II."
136,"Stari Jankovci","Vukovarsko-srijemska","II."
137,"Gornja Vrba","Brodsko-posavska","II."
138,"Nijemci","Vukovarsko-srijemska","II."
139,"Darda","Osječko-baranjska","II."
140,"Trilj","Splitsko-dalmatinska","II."
141,"Žumberak","Zagrebačka","II."
142,"Tounj","Karlovačka","II."
143,"Dubrava","Zagrebačka","II."
144,"Feričanci","Osječko-baranjska","II."
145,"Desinić","Krapinsko-zagorska","II."
146,"Jasenovac","Sisačko-moslavačka","II."
147,"Zdenci","Virovitičko-podravska","II."
148,"Visoko","Varaždinska","II."
149,"Lišane Ostrovičke","Zadarska","II."
150,"Otok","Splitsko-dalmatinska","II."
151,"Hlebine","Koprivničko-križevačka","II."
152,"Veliko Trojstvo","Bjelovarsko-bilogorska","II."
153,"Donji Andrijevci","Brodsko-posavska","II."
154,"Sveti Ivan Žabno","Koprivničko-križevačka","II."
155,"Žakanje","Karlovačka","II."
156,"Kutjevo","Požeško-slavonska","II."
157,"Sibinj","Brodsko-posavska","II."
158,"Ružić","Šibensko-kninska","II."
159,"Brestovac","Požeško-slavonska","II."
160,"Oriovac","Brodsko-posavska","II."
161,"Čačinci","Virovitičko-podravska","II."
162,"Udbina","Ličko-senjska","II."
163,"Brodski Stupnik","Brodsko-posavska","II."
164,"Vrlika","Splitsko-dalmatinska","II."
165,"Podturen","Međimurska","II."
166,"Bosiljevo","Karlovačka","II."
167,"Domašinec","Međimurska","II."
168,"Zmijavci","Splitsko-dalmatinska","II."
169,"Velika","Požeško-slavonska","II."
170,"Cestica","Varaždinska","II."
171,"Vođinci","Vukovarsko-srijemska","II."
172,"Ivankovo","Vukovarsko-srijemska","II."
173,"Bednja","Varaždinska","II."
174,"Lasinja","Karlovačka","II."
175,"Josipdol","Karlovačka","II."
176,"Novska","Sisačko-moslavačka","II."
177,"Štrigova","Međimurska","II."
178,"Lovas","Vukovarsko-srijemska","II."
179,"Peteranec","Koprivničko-križevačka","II."
180,"Sveti Đurđ","Varaždinska","II."
181,"Hrvatska Kostajnica","Sisačko-moslavačka","II."
182,"Mali Bukovec","Varaždinska","II."
183,"Petrinja","Sisačko-moslavačka","II."
184,"Tordinci","Vukovarsko-srijemska","II."
185,"Novigrad (Zadar)","Zadarska","II."
186,"Virje","Koprivničko-križevačka","II."
187,"Stankovci","Zadarska","II."
188,"Škabrnja","Zadarska","II."
189,"Hrvace","Splitsko-dalmatinska","II."
190,"Poličnik","Zadarska","II."
191,"Magadenovac","Osječko-baranjska","II."
192,"Rakovica","Karlovačka","II."
193,"Jarmina","Vukovarsko-srijemska","II."
194,"Bukovlje","Brodsko-posavska","II."
195,"Kamanje","Karlovačka","II."
196,"Selnica","Međimurska","II."
197,"Jakšić","Požeško-slavonska","II."
198,"Obrovac","Zadarska","II."
199,"Posedarje","Zadarska","II."
200,"Pakrac","Požeško-slavonska","II."
201,"Knin","Šibensko-kninska","II."
202,"Petrovsko","Krapinsko-zagorska","II."
